Unnamed: 0,airline,title,date,content,rate,SeatType,AircraftType,SeatLayout,clean_content
0,aegean-airlines,"""middle seat was kept empty""",23rd October 2021,"✅ Trip Verified |  Seating seemed to be the same as Economy, with the exception that the middle seat was kept empty, and there was more leg room. I found the legroom to be ample and I am fairly tall. Standard recline. Not particularly wide, but I am!  The price was reasonable.",5.0,Business Class,A320,2x2,seating seemed economy exception middle seat kept empty leg room found legroom ample fairly tall standard recline particularly wide price reasonable
1,aegean-airlines,"""have to pay for extra leg room""",25th February 2020,"✅ Trip Verified |  Very good overall, but I'm taller than 6' and seats are very narrow. I find it disgusting to have to pay for extra leg room. Definitely not recommend it for tall people.",4.0,Economy Class,A320,3x3,good overall taller seats narrow find disgusting pay extra leg room definitely recommend tall people
2,aegean-airlines,"""Never had less legroom""",21st February 2020,"✅ Trip Verified |  Never had less legroom on a flight than during the flight with the new Aegean A320neo. The seat pitch was very narrow, and they allow reclining the seat in economy. So the very limited space gets even smaller if the person in front insists reclining.  Add around 36 Euro on top for ""extra legroom"" charges for 2 international flights. Or just book somewhere else.",1.0,Economy Class,A320neo,3x3,never less legroom flight flight seat pitch narrow allow reclining seat economy limited space gets even smaller person front insists reclining add top extra legroom charges international flights book somewhere else
3,aegean-airlines,"""little leg space at all""",5th October 2019,"✅ Trip Verified |  Horrible experience. Seats have been pressed together ever since they started charging for leg space. There is little leg space at all for regular passengers. Also, the net was completely missing from my seat, therefore I couldn't place my personal items anywhere. Please upgrade your planes or reduce the cost.",3.0,Economy Class,A320,3x3,horrible experience seats pressed together ever started charging leg space little leg space regular passengers also net completely missing seat therefore place personal items anywhere upgrade planes reduce cost
4,aegean-airlines,"""never had less legroom""",26th August 2019,"✅ Trip Verified |  Overall Aegean is a decent airline. I can deal with little legroom on a short flight but yesterday I was flying from LHR to ATH, which is a 3.5 hour flight and I never had less legroom on a flight with this kind of duration. I had less legroom on their flight than on any Ryanair flight.",1.0,Economy Class,A321,3x3,overall aegean decent airline deal little legroom short flight yesterday flying hour flight never less legroom flight kind duration less legroom flight ryanair flight
5,aegean-airlines,"""the short legroom space""",22nd July 2019,✅ Trip Verified |  I fly Aegean frequently and I am a Gold member for many years. Seat is comfortable in overall unless you are seating behind the emergency exits. I am 197cm tall and it is a real struggle to fit in the short legroom space. Anyone above 180cm of height would struggle to feel comfortable in these seats.,5.0,Economy Class,A320,3x3,ly frequently gold member many years seat comfortable overall seating emergency exits tall real struggle fit short legroom space height would struggle feel comfortable seats
6,aegean-airlines,"""seats are pretty comfortable""",11th April 2018,✅ Trip Verified |  The A320 seats are pretty comfortable and seat had a lot of functionalities. The 18 inch width make the seats comfortable. ,8.0,Economy Class,A320-200,3x3,seats pretty comfortable seat lot functionalities inch width make seats comfortable
7,aegean-airlines,"""thin and uncomfortable seats""",29th January 2017,"✅ Verified Review |  Business class on A320 from Athens to Geneva. The cabin crew was very courteous and smiling. However I had to ask three times for a pillow, they seemed to forget it, though business class was half full. The food was excellent, better that on other airlines flying this route. I got a very well-executed Greek dish of moussaka. And real dessert. The only real criticism is the incredibly thin and uncomfortable seats, a trait of most airlines on European routes these days (with the exception of Turkish).",8.0,Premium Economy,A320,2x2,w business cabin crew courteous smiling however ask times pillow seemed forget business class half full food excellent better airlines flying route got well executed greek dish moussaka real dessert real criticism incredibly thin uncomfortable seats trait airlines european routes days exception turkish
8,aegean-airlines,"""legroom is so spacious""",26th August 2016,The amount of legroom is so spacious you can stretch out and relax with ease and have room to store your bags in front of you or under your seat. The seats are a soft black leather and very comfortable and with having such a big amount of legroom you don't annoy the person behind you when you recline your seat.,10.0,Economy Class,A320,3x3,amount legroom spacious stretch relax ease room store bags front seat seats soft black leather comfortable big amount legroom annoy person seat
9,aegean-airlines,"""enough space to stretch your legs""",12th August 2016,"Very comfortable cabin, with enough space to stretch your legs and place some of your belongings under the front seat with no discomfort. Enough space to eat your free meal, read a book, use computer etc.",10.0,Economy Class,A320,3x3,comfortable cabin enough space stretch legs place belongings front seat discomfort enough space eat free meal book use computer
